COD_ENSE ,Descripción 
110,Enseñanza Básica 
160,Educación Básica Común Adultos (Decreto 77/1982) 
161,Educación Básica Especial Adultos 
163,Escuelas Cárceles 
165,Educación de Adultos Sin Oficios (Decreto 584/2007) 
167,Educación de Adultos Con Oficios (Decreto 584/2007 y 999/2009) 
310,Enseñanza Media H-C niños y jóvenes 
360,Educación Media H-C Adultos (Decreto N°190/1975) 
361,Educación Media H-C Adultos (Decreto N°12/1987) 
363,Educación Media H-C Adultos (Decreto N°239/2004) 
410,Enseñanza Media T-P Comercial Niños 
460,Educación Media T-P Comercial Adultos (Decreto N° 152/1989) 
461,Educación Media T-P Comercial Adultos (Decreto N° 152/1989) 
463,Educación Media T-P Comercial Adultos (Decreto N° 1000/2009) 
510,Enseñanza Media T-P Industrial Niños 
560,Educación Media T-P Industrial Adultos (Decreto N° 152/1989) 
561,Educación Media T-P Industrial Adultos (Decreto N° 152/1989) 
563,Educación Media T-P Industrial Adultos (Decreto N° 1000/2009) 
610,Enseñanza Media T-P Técnica Niños 
660,Educación Media T-P Técnica Adultos (Decreto N° 152/1989) 
661,Educación Media T-P Técnica Adultos (Decreto N° 152/1989) 
663,Educación Media T-P Técnica Adultos (Decreto N° 1000/2009) 
710,Enseñanza Media T-P Agrícola Niños 
760,Educación Media T-P Agrícola Adultos (Decreto N° 152/1989) 
761,Educación Media T-P Agrícola Adultos (Decreto N° 152/1989) 
763,Educación Media T-P Agrícola Adultos (Decreto N° 1000/2009) 
810,Enseñanza Media T-P Marítima Niños 
860,Enseñanza Media T-P Marítima Adultos (Decreto N° 152/1989) 
861,Enseñanza Media T-P Marítima Adultos (Decreto N° 152/1989) 
863,Enseñanza Media T-P Marítima Adultos (Decreto N° 1000/2009) 
910,Enseñanza Media Artística Niños y Jóvenes 
963,Enseñanza Media Artística Adultos 
